Month,Rainfall,Temp,Humidity,Cases
Jan-10,21.00000001,23,75,584
Feb-10,4.499999955,23,74,606
Mar-10,72.30000028,24,74,294
Apr-10,482.8999955,25,84,224
May-10,727.8000139,26,88,296
Jun-10,200.3999979,25,89,700
Jul-10,117.7999988,24,88,1530
Aug-10,14.69999981,25,85,881
Sep-10,306.6000032,24,83,312
Oct-10,158.2999999,24,83,267
Nov-10,971.5000078,24,81,97
Dec-10,292.0999963,23,81,146
Jan-11,61.69999999,23,77,309
Feb-11,33.70000006,23,79,392
Mar-11,149.4999986,24,76,340
Apr-11,354.3000059,25,78,528
May-11,197.8000001,26,76,698
Jun-11,178.6000001,26,77,1610
Jul-11,98.19999903,25,78,2085
Aug-11,148.6000005,25,77,824
Sep-11,76.20000081,25,77,863
Oct-11,242.0000008,25,74,599
Nov-11,188.2999986,25,73,536
Dec-11,45.30000015,24,74,1339
Jan-12,158.7000003,22,71,1066
Feb-12,140.0999998,24,72,744
Mar-12,122.0000005,24,75,630
Apr-12,532.3000006,26,73,412
May-12,152.0000035,26,75,583
Jun-12,88.60000179,26,77,1251
Jul-12,41.10000058,26,78,1314
Aug-12,200.2999996,26,76,1231
Sep-12,180.0000025,26,76,525
Oct-12,507.3000019,26,75,726
Nov-12,207.3999999,26,76,853
Dec-12,134.8,24,77,682
Jan-13,90.90000051,24,72,757
Feb-13,164.2999987,24,73,845
Mar-13,108.2999996,25,75,791
Apr-13,148.1,27,73,610
May-13,404.5000071,27,77,748
Jun-13,260.4000016,25,82,830
Jul-13,198.2000014,25,81,1168
Aug-13,21.80000023,25,80,1298
Sep-13,216.8000002,25,79,685
Oct-13,140.3000019,25,76,619
Nov-13,204.6999996,25,72,1173
Dec-13,32.30000049,24,73,1259
Jan-14,85.59999847,24,72,1346
Feb-14,19.49999928,23,71,684
Mar-14,144.8000014,25,72,488
Apr-14,254.7000024,26,75,539
May-14,83.49999993,27,75,1744
Jun-14,238.7000029,27,79,2289
Jul-14,35.20000034,26,81,1859
Aug-14,255.4000005,25,78,1104
Sep-14,312.6999994,26,77,706
Oct-14,449.5999962,25,77,1089
Nov-14,278.8000009,24,77,1448
Dec-14,476.5000095,24,81,1415
Jan-15,32.70000038,23,73,1802
Feb-15,122.5000003,23,74,1101
Mar-15,220.9000002,24,78,537
Apr-15,267.6999996,25,78,317
May-15,169.199997,26,80,515
Jun-15,237.7999988,26,82,515
Jul-15,37.30000031,25,85,907
Aug-15,90.69999987,25,84,711
Sep-15,631.4000019,25,80,401
Oct-15,235.4000017,25,82,769
Nov-15,525.8000029,25,83,985
Dec-15,376.6000056,24,79,1321
Jan-16,65.29999959,23,74,2184
Feb-16,106.7000011,24,73,1569
Mar-16,91.29999818,25,74,1016
Apr-16,185.8999974,26,77,942
May-16,752.399996,26,83,693
Jun-16,132.2999997,26,86,1459
Jul-16,49.19999985,25,85,3191
Aug-16,1.100000009,25,85,1478
Sep-16,28.99999914,25,85,939
Oct-16,374.0000007,25,79,459
Nov-16,404.8000036,24,79,460
Dec-16,165.1000009,23,76,2377
Jan-18,45.7000002,22,73,1177
Feb-18,108.800002,23,78,622
Mar-18,68.80000094,24,81,475
Apr-18,264.9999981,25,79,403
May-18,421.6999979,26,83,615
Jun-18,155.8000008,25,86,1292
Jul-18,68.89999948,25,85,1568
Aug-18,63.89999953,25,85,1037
Sep-18,263.7000004,25,81,387
Oct-18,539.6999988,25,82,372
Nov-18,420.6999973,24,82,977
Dec-18,139.4999996,23,80,1333
