influenza at Albany,Covid world daily,dengue unknown,SARS rio de jeniro hospital,MERS saudi arabia weekly
4,0,237,2,1
11,99,331,1,0
27,287,562,2,6
87,493,187,0,8
77,684,32,3,5
61,809,11,2,3
29,2651,6,4,4
17,588,4,4,4
8,2068,7,10,7
5,1693,7,34,5
1,2111,5,60,5
2,4749,8,100,6
1,3100,7,286,5
3,4011,12,612,1
1,3745,27,901,4
1,3159,49,976,3
1,3532,8,743,4
1,2734,3,449,1
3,3027,1,333,3
5,2538,3,282,7
10,2042,3,162,6
8,1886,0,129,7
12,13645,0,102,12
9,6484,4,36,6
5,2075,6,31,6
9,2114,11,24,3
3,1936,21,15,2
8,1794,15,13,3
5,421,8,5,2
6,547,4,9,3
17,629,4,6,1
7,1761,3,3,2
6,323,0,1,2
9,564,2,3,2
7,853,2,3,2
6,963,5,0,2
4,1364,32,1,0
1,1377,38,0,6
1,1895,160,4,5
3,2384,223,1,0
5,1974,136,0,0
3,2577,21,1,2
3,2299,13,3,1
5,2791,10,1,3
2,3943,2,3,1
8,4038,2,5,2
3,3954,5,10,7
2,3900,86,9,6
4,5024,224,12,7
1,7663,364,12,19
1,5750,348,8,10
5,14405,266,10,51
7,11106,156,17,56
24,11146,50,23,61
52,14659,8,17,93
87,15838,9,12,92
49,19586,6,19,57
65,27918,4,24,30
70,29608,7,10,26
41,32306,22,10,7
16,33410,90,15,13
12,42165,91,12,6
14,41154,125,5,5
13,50817,76,8,6
11,62960,28,6,3
10,64400,7,6,0
7,67657,2,2,0
12,59577,0,8,0
10,64639,0,6,0
5,76416,1,5,2
3,76214,0,3,0
3,81399,3,0,2
1,83155,9,5,1
1,80463,8,1,5
1,71718,6,2,1
1,72672,3,1,5
1,76873,1,1,3
3,83775,0,1,5
6,86625,0,0,6
6,87658,0,0,14
19,76965,0,1,12
26,96802,0,0,7
39,69594,0,1,5
69,69927,3,1,4
53,80829,5,0,5
45,96712,7,3,5
32,87724,8,0,1
35,73958,38,1,3
12,80523,29,2,1
8,73339,17,0,4
10,75250,8,1,4
14,78994,2,0,3
8,89013,2,0,6
16,96974,0,2,6
29,84932,0,2,11
34,72948,3,0,19
22,68704,8,0,24
22,75404,24,1,20
32,79558,187,0,16
17,83681,292,1,18
8,87046,129,0,10
1,81853,31,0,5
1,77636,7,0,7
1,76078,16,0,1
4,79989,10,0,3
4,90022,17,1,1
7,90669,10,2,1
14,92997,11,3,9
31,85846,169,2,7
57,76255,922,0,4
68,76298,3213,0,12
85,83619,4207,2,14
98,84917,2364,3,6
67,97106,300,7,2
72,96349,67,6,6
50,95412,17,0,3
47,78509,35,3,1
33,88284,49,1,1
36,96633,57,0,6
22,103028,42,1,7
13,106438,40,3,14
2,106900,37,4,23
2,105289,72,2,29
1,95326,79,1,43
1,87335,21,1,38
1,92742,10,3,33
2,102600,8,0,7
4,119314,9,1,6
2,121167,2,3,4
3,137833,8,0,3
16,107552,6,0,3
19,95195,14,0,9
29,121577,17,2,7
30,119389,29,0,3
48,126937,53,3,1
54,130863,40,3,0
63,135942,25,3,0
74,112259,16,1,2
92,102225,2,2,0
52,124342,3,1,1
42,134025,2,1,3
18,138114,3,1,0
35,129094,3,1,0
20,136010,7,2,2
35,133421,65,1,2
21,119638,249,0,2
18,141403,626,0,2
9,141853,942,1,6
4,139928,630,1,6
5,180954,84,1,10
1,157552,11,2,7
1,128539,10,2,19
1,137858,5,4,14
7,165338,5,3,10
7,171183,8,2,4
7,177887,12,3,2
35,191346,68,6,5
46,178110,288,0,4
63,162349,658,6,1
159,158572,1202,7,2
140,173898,714,10,1
158,217689,133,9,1
158,207705,26,13,0
183,203495,11,12,1
174,193567,13,9,2
159,182695,23,6,5
102,167343,22,13,26
43,210844,20,9,13
46,211802,49,16,5
35,228227,53,11,3
38,232577,152,16,1
38,216328,352,11,2
32,192668,205,7,1
16,192779,88,3,3
25,221452,18,7,2
20,231122,12,2,1
11,252544,8,2,1
4,242038,6,6,2
2,237635,11,0,1
1,214647,25,2,4
3,206778,145,5,1
5,233565,496,5,0
1,280647,1853,7,1
5,282756,2703,2,8
6,281164,1277,3,4
10,255545,304,2,4
15,204606,36,1,5
18,228693,26,1,5
